ID,OTN_ARRAY,STATION_NO,CONSECUTIVE_DEPLOY_NO,INTEND_LAT,INTEND_LONG,OTN_MISSION_ID,DEPLOY_DATE_TIME,DEPLOY_LAT,DEPLOY_LONG,BOTTOM_DEPTH,RISER_LENGTH,INSTRUMENT_DEPTH,CHECWLK_COMPLETE_TIME,STATUS_IN,INS_MODEL_NUMBER,INS_SERIAL_NUMBER,SYNC_DATE_TIME,MEMORY_ERASED_AT_DEPLOY,RCV_BATTERY_INSTALL_DATE,RCV_EXPECTED_BATTERY_LIFE,RCV_VOLTAGE_AT_DEPLOY,RCV_TILT_AFTER_DEPLOY,AR_MODEL_NUMBER,AR_SERIAL_NUMBER,AR_BATTERY_INSTALL_DATE,AR_EXPECTED_BATTERY_LIFE,AR_VOLTAGE_AT_DEPLOY,AR_TILT_AFTER_DEPLOY,AR_INTERROGATE_CODE,AR_RECEIVE_FREQUENCY,AR_REPLY_FREQUENCY,AR_PING_RATE,AR_ENABLE_CODE_ADDRESS,AR_RELEASE_CODE,AR_DISABLE_CODE,AR_TILT_CODE,DEPLOYED_BY,GLATOS_STATUS,GLATOS_SEASONAL,GLATOS_STUDY,FREQUENCY
102,OSC,011,,,,,9/22/2010,44.45151,-83.19199,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HECWL,69 kHz
103,OSC,012,,,,,9/22/2010,44.45154,-83.17941,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HECWL,69 kHz
104,PRS,001,,,,,9/15/2010,45.33385,-83.45832,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HECWL,69 kHz
105,PRS,002,,,,,9/15/2010,45.33988,-83.44838,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HECWL,69 kHz
106,PRS,003,,,,,9/15/2010,45.34606,-83.43851,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HECWL,69 kHz
107,SBI,001,,,,,5/5/2011,44.17871,-83.54776,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HECWL,69 kHz
108,SBI,002,,,,,9/22/2010,44.17713,-83.54172,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HECWL,69 kHz
109,SBI,003,,,,,9/22/2010,44.17254,-83.53088,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HECWL,69 kHz
110,SBI,004,,,,,9/22/2010,44.16792,-83.52018,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HECWL,69 kHz
111,SBI,005,,,,,9/22/2010,44.16338,-83.50944,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HECWL,69 kHz
112,SBI,006,,,,,9/20/2010,44.1589,-83.49872,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HECWL,69 kHz
113,SBI,007,,,,,9/20/2010,44.15433,-83.48784,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HECWL,69 kHz
114,SBI,008,,,,,9/20/2010,44.14976,-83.4771,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HECWL,69 kHz
115,SBI,009,,,,,9/20/2010,44.14518,-83.46636,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HECWL,69 kHz
116,SBI,010,,,,,9/20/2010,44.14067,-83.45554,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HECWL,69 kHz
117,SBI,011,,,,,9/20/2010,44.13609,-83.44477,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HECWL,69 kHz
118,SBI,012,,,,,9/20/2010,44.1315,-83.434,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HECWL,69 kHz
119,SBI,013,,,,,9/20/2010,44.12693,-83.4232,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HECWL,69 kHz
120,SBI,014,,,,,9/20/2010,44.12246,-83.41243,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HECWL,69 kHz
121,SBI,015,,,,,9/20/2010,44.11783,-83.40165,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HECWL,69 kHz
122,SBI,016,,,,,9/20/2010,44.11323,-83.39078,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HECWL,69 kHz
123,SBI,017,,,,,9/20/2010,44.10872,-83.38012,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HECWL,69 kHz
124,SBI,018,,,,,9/20/2010,44.10415,-83.36927,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HECWL,69 kHz
125,SBI,019,,,,,9/20/2010,44.09963,-83.35863,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HECWL,69 kHz
126,SBI,020,,,,,9/20/2010,44.0921,-83.35192,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HECWL,69 kHz
127,SBI,021,,,,,9/20/2010,44.08469,-83.34489,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HECWL,69 kHz
128,SBI,022,,,,,9/20/2010,44.07715,-83.33784,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HECWL,69 kHz
129,SBI,023,,,,,9/20/2010,44.06965,-83.33105,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HECWL,69 kHz
130,SBI,024,,,,,9/20/2010,44.06202,-83.32402,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HECWL,69 kHz
