ID,OTN_ARRAY,STATION_NO,CONSECUTIVE_DEPLOY_NO,OTN_MISSION_ID,AR_CONFIRM,DATA_DOWNLOADED,INS_MODEL_NUMBER,INS_SERIAL_NUMBER,RECOVERED,RECOVER_DATE_TIME,RECOVER_LAT,RECOVER_LONG,GLATOS_STUDY
91,DRM,022,,,FALSE,FALSE,VR2 W,,,11/10/2010,45.9313,-83.65454,DRM
92,DRM,023,,,FALSE,FALSE,VR2 W,,,11/10/2010,45.92976,-83.64763,DRM
93,DRM,024,,,FALSE,FALSE,VR2 W,,,11/10/2010,45.92882,-83.64224,DRM
94,DRM,025,,,FALSE,FALSE,VR2 W,,,11/10/2010,45.92884,-83.63797,DRM
95,DRM,026,,,FALSE,FALSE,VR2 W,,,11/9/2010,45.92899,-83.63328,DRM
96,DRM,027,,,FALSE,FALSE,VR2 W,,,11/9/2010,45.92874,-83.62829,DRM
97,DRM,028,,,FALSE,FALSE,VR2 W,,,11/10/2010,45.93335,-83.66393,DRM
98,DRM,029,,,FALSE,FALSE,VR2 W,,,11/10/2010,45.93129,-83.65955,DRM
99,DRM,030,,,FALSE,FALSE,VR2 W,,,11/10/2010,45.92783,-83.65276,DRM
100,DRM,031,,,FALSE,FALSE,VR2 W,,,11/10/2010,45.93028,-83.66578,DRM
101,DRM,032,,,FALSE,FALSE,VR2 W,,,11/10/2010,45.92874,-83.66133,DRM
102,DRM,033,,,FALSE,FALSE,VR2 W,,,11/10/2010,45.92809,-83.65795,DRM
103,DRM,034,,,FALSE,FALSE,VR2 W,,,11/9/2010,45.92489,-83.65567,DRM
104,DRM,035,,,FALSE,FALSE,VR2 W,,,11/10/2010,45.92622,-83.66004,DRM
105,DRM,036,,,FALSE,FALSE,VR2 W,,,11/10/2010,45.92792,-83.66444,DRM
106,DRM,037,,,FALSE,FALSE,VR2 W,,,11/10/2010,45.93236,-83.67062,DRM
107,DRM,038,,,FALSE,FALSE,VR2 W,,,11/10/2010,45.92814,-83.66845,DRM
108,DRM,039,,,FALSE,FALSE,VR2 W,,,11/10/2010,45.92564,-83.66698,DRM
109,DRM,040,,,FALSE,FALSE,VR2 W,,,11/10/2010,45.92526,-83.66324,DRM
110,DRM,041,,,FALSE,FALSE,VR2 W,,,11/9/2010,45.92329,-83.65959,DRM
111,DRM,042,,,FALSE,FALSE,VR2 W,,,11/9/2010,45.92288,-83.66264,DRM
112,DRM,043,,,FALSE,FALSE,VR2 W,,,11/10/2010,45.92322,-83.66605,DRM
113,DRM,044,,,FALSE,FALSE,VR2 W,,,11/10/2010,45.92569,-83.67124,DRM
114,DRM,045,,,FALSE,FALSE,VR2 W,,,11/10/2010,45.92392,-83.67507,DRM
115,DRM,046,,,FALSE,FALSE,VR2 W,,,11/10/2010,45.92138,-83.67357,DRM
116,DRM,047,,,FALSE,FALSE,VR2 W,,,11/10/2010,45.92172,-83.66977,DRM
117,DRM,048,,,FALSE,FALSE,VR2 W,,,11/9/2010,45.91954,-83.66675,DRM
118,DRM,049,,,FALSE,FALSE,VR2 W,,,11/9/2010,45.91615,-83.66677,DRM
119,DRM,050,,,FALSE,FALSE,VR2 W,,,11/9/2010,45.91769,-83.67379,DRM
120,DRM,051,,,FALSE,FALSE,VR2 W,,,11/10/2010,45.91388,-83.68297,DRM
121,DRM,052,,,FALSE,FALSE,VR2 W,,,11/10/2010,45.91599,-83.68016,DRM
122,DRM,053,,,FALSE,FALSE,VR2 W,,,11/10/2010,45.91754,-83.68451,DRM
123,DRM,054,,,FALSE,FALSE,VR2 W,,,11/10/2010,45.92058,-83.68143,DRM
124,DRM,055,,,FALSE,FALSE,VR2 W,,,11/10/2010,45.92385,-83.6808,DRM
125,DRM,056,,,FALSE,FALSE,VR2 W,,,11/10/2010,45.9274,-83.67949,DRM
126,DRM,057,,,FALSE,FALSE,VR2 W,,,11/10/2010,45.92644,-83.68491,DRM
127,DRM,058,,,FALSE,FALSE,VR2 W,,,11/10/2010,45.92267,-83.68734,DRM
128,DRM,059,,,FALSE,FALSE,VR2 W,,,11/9/2010,45.92107,-83.66048,DRM
129,DRM,060,,,FALSE,FALSE,VR2 W,,,11/9/2010,45.91849,-83.6603,DRM
130,DRM,061,,,FALSE,FALSE,VR2 W,,,11/9/2010,45.92071,-83.65556,DRM
131,DRM,062,,,FALSE,FALSE,VR2 W,,,11/9/2010,45.91771,-83.65581,DRM
132,DRM,063,,,FALSE,FALSE,VR2 W,,,11/9/2010,45.91922,-83.65126,DRM
133,DRM,064,,,FALSE,FALSE,VR2 W,,,11/9/2010,45.9225,-83.6501,DRM
134,DRM,065,,,FALSE,FALSE,VR2 W,,,11/9/2010,45.92578,-83.64845,DRM
135,DRM,066,,,FALSE,FALSE,VR2 W,,,11/9/2010,45.9267,-83.64476,DRM
136,DRM,067,,,FALSE,FALSE,VR2 W,,,11/9/2010,45.9233,-83.64526,DRM
137,DRM,068,,,FALSE,FALSE,VR2 W,,,11/9/2010,45.9206,-83.64355,DRM
138,DRM,069,,,FALSE,FALSE,VR2 W,,,11/9/2010,45.92569,-83.64045,DRM
139,DRM,070,,,FALSE,FALSE,VR2 W,,,11/9/2010,45.92242,-83.64027,DRM
140,DRM,071,,,FALSE,FALSE,VR2 W,,,11/9/2010,45.9189,-83.63814,DRM
141,DRM,072,,,FALSE,FALSE,VR2 W,,,11/9/2010,45.92139,-83.63501,DRM
142,DRM,073,,,FALSE,FALSE,VR2 W,,,11/9/2010,45.92398,-83.63582,DRM
143,DRM,074,,,FALSE,FALSE,VR2 W,,,11/9/2010,45.92642,-83.63629,DRM
144,DRM,075,,,FALSE,FALSE,VR2 W,,,11/9/2010,45.92656,-83.6322,DRM
145,DRM,076,,,FALSE,FALSE,VR2 W,,,11/9/2010,45.92438,-83.63004,DRM
146,DRM,077,,,FALSE,FALSE,VR2 W,,,11/9/2010,45.9221,-83.63001,DRM
147,DRM,078,,,FALSE,FALSE,VR2 W,,,11/9/2010,45.924,-83.62537,DRM
148,DRM,079,,,FALSE,FALSE,VR2 W,,,11/9/2010,45.92701,-83.62577,DRM
149,DRM,080,,,FALSE,FALSE,VR2 W,,,11/9/2010,45.92972,-83.6213,DRM
150,DRM,081,,,FALSE,FALSE,VR2 W,,,11/9/2010,45.92868,-83.61619,DRM
151,DRM,082,,,FALSE,FALSE,VR2 W,,,11/9/2010,45.92595,-83.61989,DRM
152,DRM,083,,,FALSE,FALSE,VR2 W,,,11/9/2010,45.92538,-83.61511,DRM
153,DRM,084,,,FALSE,FALSE,VR2 W,,,11/8/2010,45.92109,-83.6141,DRM
154,DRM,085,,,FALSE,FALSE,VR2 W,,,11/8/2010,45.92215,-83.61868,DRM
155,DRM,086,,,FALSE,FALSE,VR2 W,,,11/9/2010,45.92099,-83.6235,DRM
156,DRM,087,,,FALSE,FALSE,VR2 W,,,11/9/2010,45.9184,-83.62673,DRM
157,DRM,088,,,FALSE,FALSE,VR2 W,,,11/8/2010,45.91844,-83.62169,DRM
158,DRM,089,,,FALSE,FALSE,VR2 W,,,11/8/2010,45.91908,-83.61773,DRM
159,DRM,090,,,FALSE,FALSE,VR2 W,,,11/8/2010,45.9164,-83.61549,DRM
160,DRM,091,,,FALSE,FALSE,VR2 W,,,11/8/2010,45.91309,-83.61714,DRM
161,DRM,092,,,FALSE,FALSE,VR2 W,,,11/8/2010,45.91507,-83.62198,DRM
162,DRM,093,,,FALSE,FALSE,VR2 W,,,11/8/2010,45.91075,-83.62148,DRM
163,DRM,094,,,FALSE,FALSE,VR2 W,,,11/8/2010,45.90829,-83.62065,DRM
164,DRM,095,,,FALSE,FALSE,VR2 W,,,11/8/2010,45.90826,-83.62438,DRM
165,DRM,096,,,FALSE,FALSE,VR2 W,,,11/8/2010,45.9129,-83.62566,DRM
166,DRM,097,,,FALSE,FALSE,VR2 W,,,11/8/2010,45.91033,-83.62859,DRM
167,DRM,098,,,FALSE,FALSE,VR2 W,,,11/8/2010,45.90525,-83.66994,DRM
168,DRM,099,,,FALSE,FALSE,VR2 W,,,11/11/2010,45.94151,-83.65105,DRM
169,DRM,100,,,FALSE,FALSE,VR2 W,,,11/10/2010,45.93623,-83.65905,DRM
170,DRM,101,,,FALSE,FALSE,VR2 W,,,11/10/2010,45.93812,-83.6622,DRM
171,DRM,102,,,FALSE,FALSE,VR2 W,,,11/10/2010,45.93651,-83.66704,DRM
172,DRM,103,,,FALSE,FALSE,VR2 W,,,11/10/2010,45.92679,-83.66614,DRM
173,DRM,104,,,FALSE,FALSE,VR2 W,,,11/10/2010,45.92426,-83.66465,DRM
174,DRM,105,,,FALSE,FALSE,VR2 W,,,11/10/2010,45.92457,-83.66119,DRM
175,DRM,106,,,FALSE,FALSE,VR2 W,,,11/12/2010,45.92568,-83.65815,DRM
176,DRM,108,,,FALSE,FALSE,VR2 W,,,11/10/2010,45.93075,-83.65112,DRM
177,DRM,109,,,FALSE,FALSE,VR2 W,,,11/8/2010,45.92651,-83.71804,DRM
178,DRM,110,,,FALSE,FALSE,VR2 W,,,11/8/2010,45.91921,-83.71837,DRM
179,DRM,111,,,FALSE,FALSE,VR2 W,,,11/8/2010,45.9123,-83.7175,DRM
180,DRM,112,,,FALSE,FALSE,VR2 W,,,11/8/2010,45.90395,-83.71304,DRM
181,DRM,113,,,FALSE,FALSE,VR2 W,,,11/8/2010,45.89453,-83.70346,DRM
182,DRM,114,,,FALSE,FALSE,VR2 W,,,11/8/2010,45.88814,-83.69154,DRM
183,DRM,115,,,FALSE,FALSE,VR2 W,,,11/8/2010,45.88594,-83.6755,DRM
184,DRM,116,,,FALSE,FALSE,VR2 W,,,11/8/2010,45.88512,-83.66078,DRM
185,DRM,117,,,FALSE,FALSE,VR2 W,,,11/8/2010,45.885,-83.64557,DRM
186,DRM,118,,,FALSE,FALSE,VR2 W,,,11/8/2010,45.88592,-83.62921,DRM
187,DRM,119,,,FALSE,FALSE,VR2 W,,,11/8/2010,45.88837,-83.61417,DRM
188,DRM,120,,,FALSE,FALSE,VR2 W,,,11/8/2010,45.89313,-83.60153,DRM
189,DRM,121,,,FALSE,FALSE,VR2 W,,,11/8/2010,45.89962,-83.5924,DRM
190,DRM,122,,,FALSE,FALSE,VR2 W,,,11/8/2010,45.90652,-83.58799,DRM
191,DRM,123,,,FALSE,FALSE,VR2 W,,,11/8/2010,45.91245,-83.58466,DRM
192,DRM,124,,,FALSE,FALSE,VR2 W,,,11/8/2010,45.92819,-83.83811,DRM
193,DRM,125,,,FALSE,FALSE,VR2 W,,,11/8/2010,45.91725,-83.84248,DRM
194,DRM,126,,,FALSE,FALSE,VR2 W,,,11/8/2010,45.90804,-83.831,DRM
195,DRM,127,,,FALSE,FALSE,VR2 W,,,11/8/2010,45.90163,-83.81941,DRM
196,DRM,128,,,FALSE,FALSE,VR2 W,,,11/8/2010,45.92371,-83.76874,DRM
197,DRM,129,,,FALSE,FALSE,VR2 W,,,11/12/2010,45.91479,-83.73607,DRM
198,DRM,130,,,FALSE,FALSE,VR2 W,,,11/8/2010,45.91082,-83.60065,DRM
199,DTR,001,,,FALSE,FALSE,VR3 UWM,,,11/12/2010,45.97745,-83.8974,DRM
200,DTR,002,,,FALSE,FALSE,VR3 UWM,,,11/12/2010,45.97678,-83.88741,DRM
201,DTR,003,,,FALSE,FALSE,VR3 UWM,,,11/12/2010,45.99793,-83.87854,DRM
202,DTR,004,,,FALSE,FALSE,VR3 UWM,,,11/12/2010,45.99861,-83.8916,DRM
203,FDT,001,,,FALSE,FALSE,VR3 UWM,,,11/12/2010,45.93014,-83.50204,DRM
204,FDT,002,,,FALSE,FALSE,VR3 UWM,,,11/12/2010,45.92377,-83.48483,DRM
205,FDT,003,,,FALSE,FALSE,VR3 UWM,,,11/12/2010,45.93794,-83.46884,DRM
206,FDT,004,,,FALSE,FALSE,VR3 UWM,,,11/12/2010,45.94764,-83.48847,DRM
