ID,GLATOS_ARRAY,OTN_ARRAY,STATION_NO,CONSECUTIVE_DEPLOY_NO,MOORING_DROP_DEAD_DATE,INTEND_LAT,INTEND_LONG,OTN_MISSION_ID,DEPLOY_DATE_TIME,GLATOS_DEPLOY_DATE_TIME,GLATOS_TIMEZONE,DEPLOY_LAT,DEPLOY_LONG,BOTTOM_DEPTH,RISER_LENGTH,INSTRUMENT_DEPTH,CHECWLK_COMPLETE_TIME,STATUS_IN,INS_MODEL_NO,GLATOS_INS_FREQUENCY,INS_SERIAL_NO,RCV_MODEM_ADDRESS,SYNC_DATE_TIME,MEMORY_ERASED_AT_DEPLOY,RCV_BATTERY_INSTALL_DATE,RCV_EXPECTED_BATTERY_LIFE,RCV_VOLTAGE_AT_DEPLOY,RCV_TILT_AFTER_DEPLOY,DEPLOYED_BY,COMMENTS,GLATOS_SEASONAL,GLATOS_PROJECT,GLATOS_VPS
116,SSM,,018,3,,,,,2010-06-24T04:31:00,2010-06-24 08:31,EASTERN,46.51285,-84.34418,,,,,,VR2W,69,109125,,,,,,,,,,Y,SMRSL,Y
117,SSM,,019,1,,,,,2010-04-15T07:33:00,2010-04-15 11:33,EASTERN,46.51330,-84.34189,,,,,,VR2W,69,106324,,,,,,,,,,Y,SMRSL,Y
118,SSM,,019,2,,,,,2010-04-15T13:06:00,2010-04-15 17:06,EASTERN,46.51312,-84.34196,,,,,,VR2W,69,106324,,,,,,,,,,Y,SMRSL,Y
119,SSM,,020,1,,,,,2010-04-15T10:38:00,2010-04-15 14:38,EASTERN,46.50955,-84.34273,,,,,,VR2W,69,109460,,,,,,,,,,Y,SMRSL,Y
120,SSM,,020,2,,,,,2010-06-24T05:39:00,2010-06-24 09:39,EASTERN,46.50954,-84.34270,,,,,,VR2W,69,109460,,,,,,,,,,Y,SMRSL,Y
121,STR,,001,1,,,,,2010-04-18T11:39:00,2010-04-18 15:39,EASTERN,46.31756,-84.12004,,,,,,VR2W,69,109433,,,,,,,,,,Y,SMRSL,N
122,STR,,002,1,,,,,2010-04-18T11:13:00,2010-04-18 15:13,EASTERN,46.31847,-84.11164,,,,,,VR2W,69,109431,,,,,,,,,,Y,SMRSL,N
123,URC,,001,1,,,,,2010-04-18T07:11:00,2010-04-18 11:11,EASTERN,46.28528,-84.21113,,,,,,VR2W,69,109424,,,,,,,,,,Y,SMRSL,Y
124,URC,,002,1,,,,,2010-04-18T07:25:00,2010-04-18 11:25,EASTERN,46.28547,-84.21069,,,,,,VR2W,69,109434,,,,,,,,,,Y,SMRSL,N
125,URC,,003,1,,,,,2010-04-18T07:31:00,2010-04-18 11:31,EASTERN,46.28605,-84.21078,,,,,,VR2W,69,109423,,,,,,,,,,Y,SMRSL,Y
126,URC,,004,1,,,,,2010-04-18T07:52:00,2010-04-18 11:52,EASTERN,46.28610,-84.21139,,,,,,VR2W,69,109432,,,,,,,,,,Y,SMRSL,Y
127,URC,,005,1,,,,,2010-04-19T10:31:00,2010-04-19 14:31,EASTERN,46.28594,-84.21367,,,,,,VR2W,69,109447,,,,,,,,,,Y,SMRSL,Y
128,BLL,,001,1,,,,,2011-04-26T07:07:00,2011-04-26 11:07,EASTERN,46.53548,-84.21335,,,,,,VR2W,69,109879,,,,,,,,,,Y,SMRSL,N
129,BRS,,001,1,,,,,2011-04-27T05:23:00,2011-04-27 09:23,EASTERN,46.47056,-84.46010,,,,,,VR2W,69,109888,,,,,,,,,,Y,SMRSL,N
130,BRS,,002,1,,,,,2011-04-27T05:10:00,2011-04-27 09:10,EASTERN,46.47315,-84.46475,,,,,,VR2W,69,109890,,,,,,,,,,Y,SMRSL,N
131,CHR,,001,1,,,,,2011-04-26T12:00:00,2011-04-26 16:00,EASTERN,46.32387,-84.23488,,,,,,VR2W,69,109909,,,,,,,,,,Y,SMRSL,N
132,CKI,,001,1,,,,,2011-04-26T06:17:00,2011-04-26 10:17,EASTERN,46.49511,-84.26828,,,,,,VR2W,69,110004,,,,,,,,,,Y,SMRSL,Y
133,CKI,,002,1,,,,,2011-05-11T09:29:00,2011-05-11 13:29,EASTERN,46.49664,-84.26923,,,,,,VR2W,69,109500,,,,,,,,,,Y,SMRSL,Y
134,CKI,,003,1,,,,,2011-04-26T06:07:00,2011-04-26 10:07,EASTERN,46.49564,-84.27088,,,,,,VR2W,69,109934,,,,,,,,,,Y,SMRSL,Y
135,CKI,,004,1,,,,,2011-04-26T05:53:00,2011-04-26 09:53,EASTERN,46.49460,-84.27261,,,,,,VR2W,69,109914,,,,,,,,,,Y,SMRSL,Y
136,CKI,,005,1,,,,,2011-04-26T05:34:00,2011-04-26 09:34,EASTERN,46.49597,-84.27341,,,,,,VR2W,69,109897,,,,,,,,,,Y,SMRSL,Y
137,DCK,,001,1,,,,,2011-04-25T13:46:00,2011-04-25 17:46,EASTERN,46.35816,-84.13510,,,,,,VR2W,69,113212,,,,,,,,,,Y,SMRSL,N
138,DCK,,002,1,,,,,2011-04-25T13:54:00,2011-04-25 17:54,EASTERN,46.36030,-84.12911,,,,,,VR2W,69,109970,,,,,,,,,,Y,SMRSL,N
139,EDS,,001,1,,,,,2011-05-02T07:43:00,2011-05-02 11:43,EASTERN,46.49859,-84.33344,,,,,,VR2W,69,109960,,,,,,,,,,Y,SMRSL,Y
140,EDS,,002,1,,,,,2011-05-02T08:02:00,2011-05-02 12:02,EASTERN,46.49879,-84.33390,,,,,,VR2W,69,109975,,,,,,,,,,Y,SMRSL,Y
141,EDS,,003,1,,,,,2011-05-02T07:19:00,2011-05-02 11:19,EASTERN,46.49856,-84.33416,,,,,,VR2W,69,113233,,,,,,,,,,Y,SMRSL,Y
142,EDS,,004,1,,,,,2011-05-02T07:51:00,2011-05-02 11:51,EASTERN,46.49832,-84.33360,,,,,,VR2W,69,109902,,,,,,,,,,Y,SMRSL,Y
143,GRD,,001,1,,,,,2011-04-25T15:34:00,2011-04-25 19:34,EASTERN,46.52909,-84.15071,,,,,,VR2W,69,109997,,,,,,,,,,Y,SMRSL,Y
144,GRD,,002,1,,,,,2011-04-25T15:40:00,2011-04-25 19:40,EASTERN,46.52978,-84.15159,,,,,,VR2W,69,109953,,,,,,,,,,Y,SMRSL,Y
