ID,GLATOS_ARRAY,OTN_ARRAY,STATION_NO,CONSECUTIVE_DEPLOY_NO,OTN_MISSION_ID,AR_CONFIRM,DATA_DOWNLOADED,INS_MODEL_NUMBER,INS_SERIAL_NUMBER,RECOVERED,RECOVER_DATE_TIME,GLATOS_RECOVER_DATE_TIME,GLATOS_TIMEZONE,RECOVER_LAT,RECOVER_LONG,GLATOS_PROJECT,GLATOS_VPS
135,CKI,,005,1,,,,,109897,,2011-08-03T07:05:00,2011-08-03 11:05,EASTERN,,,SMRSL,Y
136,DCK,,001,1,,,,,113212,,2011-08-06T10:32:00,2011-08-06 14:32,EASTERN,,,SMRSL,N
137,DCK,,002,1,,,,,109970,,2011-08-06T11:18:00,2011-08-06 15:18,EASTERN,,,SMRSL,N
138,EDS,,001,1,,,,,109960,,2011-08-06T04:03:00,2011-08-06 08:03,EASTERN,,,SMRSL,Y
139,EDS,,002,1,,,,,109975,,2011-08-04T08:35:00,2011-08-04 12:35,EASTERN,,,SMRSL,Y
140,EDS,,003,1,,,,,113233,,2011-08-04T08:41:00,2011-08-04 12:41,EASTERN,,,SMRSL,Y
141,EDS,,004,1,,,,,109902,,2011-08-04T09:01:00,2011-08-04 13:01,EASTERN,,,SMRSL,Y
142,GRD,,002,1,,,,,109953,,2011-08-03T08:20:00,2011-08-03 12:20,EASTERN,,,SMRSL,Y
143,GRD,,003,1,,,,,113219,,2011-08-07T08:32:00,2011-08-07 12:32,EASTERN,,,SMRSL,Y
144,GRD,,004,1,,,,,113225,,2011-08-07T09:17:00,2011-08-07 13:17,EASTERN,,,SMRSL,Y
145,GRD,,005,1,,,,,113229,,2011-08-07T10:30:00,2011-08-07 14:30,EASTERN,,,SMRSL,Y
146,GRD,,006,1,,,,,113220,,2011-08-07T10:03:00,2011-08-07 14:03,EASTERN,,,SMRSL,Y
147,GRD,,010,1,,,,,109913,,2011-08-09T05:24:00,2011-08-09 09:24,EASTERN,,,SMRSL,N
148,GRD,,011,1,,,,,109981,,2011-08-09T05:09:00,2011-08-09 09:09,EASTERN,,,SMRSL,N
149,IS1,,002,1,,,,,113218,,2011-08-03T04:20:00,2011-08-03 08:20,EASTERN,,,SMRSL,N
150,IS1,,004,1,,,,,109996,,2011-08-03T04:10:00,2011-08-03 08:10,EASTERN,,,SMRSL,N
151,LRC,,001,1,,,,,113214,,2011-08-05T05:41:00,2011-08-05 09:41,EASTERN,,,SMRSL,Y
152,LRC,,002,1,,,,,109946,,2011-11-08T08:30:00,2011-11-08 13:30,EASTERN,,,SMRSL,Y
153,LRC,,003,1,,,,,113222,,2011-08-05T06:11:00,2011-08-05 10:11,EASTERN,,,SMRSL,Y
154,LRC,,004,1,,,,,109999,,2011-08-05T07:21:00,2011-08-05 11:21,EASTERN,,,SMRSL,Y
155,LRC,,005,1,,,,,109991,,2011-08-05T05:04:00,2011-08-05 09:04,EASTERN,,,SMRSL,Y
156,LRC,,006,1,,,,,109947,,2011-08-05T07:08:00,2011-08-05 11:08,EASTERN,,,SMRSL,Y
157,LRC,,007,1,,,,,113209,,2011-08-05T04:52:00,2011-08-05 08:52,EASTERN,,,SMRSL,Y
158,LRP,,001,1,,,,,109886,,2011-08-03T04:36:00,2011-08-03 08:36,EASTERN,,,SMRSL,N
159,MNB,,001,1,,,,,113221,,2011-08-06T07:45:00,2011-08-06 11:45,EASTERN,,,SMRSL,Y
160,MNB,,002,1,,,,,109936,,2011-08-06T06:10:00,2011-08-06 10:10,EASTERN,,,SMRSL,N
161,MNB,,003,1,,,,,113213,,2011-11-08T10:45:00,2011-11-08 15:45,EASTERN,,,SMRSL,Y
162,MNB,,004,1,,,,,113223,,2011-11-08T12:00:00,2011-11-08 17:00,EASTERN,,,SMRSL,Y
163,MNB,,005,1,,,,,113230,,2011-08-06T06:38:00,2011-08-06 10:38,EASTERN,,,SMRSL,Y
164,OVP,,001,1,,,,,109930,,2011-08-08T06:29:00,2011-08-08 10:29,EASTERN,,,SMRSL,N
165,OVP,,002,1,,,,,109995,,2011-08-08T06:35:00,2011-08-08 10:35,EASTERN,,,SMRSL,N
166,OVP,,003,1,,,,,109971,,2011-08-08T06:38:00,2011-08-08 10:38,EASTERN,,,SMRSL,N
167,PCH,,001,1,,,,,109889,,2011-08-08T08:20:00,2011-08-08 12:20,EASTERN,,,SMRSL,N
168,PCH,,002,1,,,,,109927,,2011-08-08T08:30:00,2011-08-08 12:30,EASTERN,,,SMRSL,N
169,PWC,,001,1,,,,,109876,,2011-08-04T07:36:00,2011-08-04 11:36,EASTERN,,,SMRSL,N
170,PWC,,002,1,,,,,109951,,2011-08-04T07:42:00,2011-08-04 11:42,EASTERN,,,SMRSL,N
171,RNS,,003,1,,,,,113227,,2011-08-05T09:48:00,2011-08-05 13:48,EASTERN,,,SMRSL,N
172,RNS,,006,1,,,,,113228,,2011-08-05T08:28:00,2011-08-05 12:28,EASTERN,,,SMRSL,N
173,RTR,,001,1,,,,,110005,,2011-08-09T05:59:00,2011-08-09 09:59,EASTERN,,,SMRSL,N
174,RTR,,002,1,,,,,109896,,2011-08-09T06:30:00,2011-08-09 10:30,EASTERN,,,SMRSL,N
175,RVR,,001,1,,,,,113226,,2011-08-03T04:59:00,2011-08-03 08:59,EASTERN,,,SMRSL,N
176,RVR,,002,1,,,,,110011,,2011-08-03T03:54:00,2011-08-03 07:54,EASTERN,,,SMRSL,N
177,SQR,,001,1,,,,,113215,,2011-08-07T07:32:00,2011-08-07 11:32,EASTERN,,,SMRSL,Y
178,SQR,,002,1,,,,,113211,,2011-08-07T05:59:00,2011-08-07 09:59,EASTERN,,,SMRSL,Y
179,SQR,,003,1,,,,,113216,,2011-08-03T10:30:00,2011-08-03 14:30,EASTERN,,,SMRSL,Y
180,SQR,,004,1,,,,,113224,,2011-08-07T07:14:00,2011-08-07 11:14,EASTERN,,,SMRSL,Y
181,SSM,,001,1,,,,,109983,,2011-08-04T04:55:00,2011-08-04 08:55,EASTERN,,,SMRSL,Y
182,SSM,,002,1,,,,,109892,,2011-08-04T05:22:00,2011-08-04 09:22,EASTERN,,,SMRSL,Y
183,SSM,,003,1,,,,,109984,,2011-08-04T06:41:00,2011-08-04 10:41,EASTERN,,,SMRSL,Y
184,SSM,,004,1,,,,,109877,,2011-08-03T11:40:00,2011-08-03 15:40,EASTERN,,,SMRSL,N
185,SSM,,006,1,,,,,109880,,2011-08-04T07:22:00,2011-08-04 11:22,EASTERN,,,SMRSL,Y
186,SSM,,008,1,,,,,109878,,2011-08-04T06:58:00,2011-08-04 10:58,EASTERN,,,SMRSL,Y
187,SSM,,009,1,,,,,109957,,2011-08-04T07:15:00,2011-08-04 11:15,EASTERN,,,SMRSL,Y
188,SSM,,010,1,,,,,110007,,2011-08-04T07:05:00,2011-08-04 11:05,EASTERN,,,SMRSL,Y
189,SSM,,011,1,,,,,109420,,2011-08-04T05:55:00,2011-08-04 09:55,EASTERN,,,SMRSL,Y
190,SSM,,012,1,,,,,109514,,2011-08-04T05:36:00,2011-08-04 09:36,EASTERN,,,SMRSL,Y
191,SSM,,013,1,,,,,109911,,2011-08-04T05:30:00,2011-08-04 09:30,EASTERN,,,SMRSL,Y
192,SSM,,014,1,,,,,109945,,2011-08-04T05:05:00,2011-08-04 09:05,EASTERN,,,SMRSL,Y
193,SSM,,015,1,,,,,109990,,2011-08-04T04:35:00,2011-08-04 08:35,EASTERN,,,SMRSL,Y
194,SSM,,016,1,,,,,109921,,2011-08-04T04:15:00,2011-08-04 08:15,EASTERN,,,SMRSL,Y
195,SSM,,018,1,,,,,106326,,2011-08-04T04:26:00,2011-08-04 08:26,EASTERN,,,SMRSL,Y
196,SSM,,019,1,,,,,109883,,2011-08-04T04:08:00,2011-08-04 08:08,EASTERN,,,SMRSL,Y
197,SSM,,020,1,,,,,109942,,2011-08-04T05:15:00,2011-08-04 09:15,EASTERN,,,SMRSL,Y
198,SSM,,021,1,,,,,109901,,2011-11-09T08:40:00,2011-11-09 13:40,EASTERN,,,SMRSL,Y
199,STR,,001,1,,,,,113217,,2011-08-06T10:09:00,2011-08-06 14:09,EASTERN,,,SMRSL,N
200,STR,,002,1,,,,,109875,,2011-08-06T10:13:00,2011-08-06 14:13,EASTERN,,,SMRSL,N
201,URC,,004,1,,,,,113210,,2011-08-05T04:38:00,2011-08-05 08:38,EASTERN,,,SMRSL,N
